"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C14,C12,C17,C13,C11,C18";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";6;"100pf";;;
2;"D2";"LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"blue";;;
3;"U1";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
4;"R2,R3,R1,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"1k";;;
5;"H3,H4,H2,H1";"MountingHole_2.2mm_M2_Pad_Via";4;"MountingHole_Pad";;;
6;"C3";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"10nf";;;
7;"J1";"USB_Micro-B_Molex_47346-0001";1;"USB_B_Mini";;;
8;"J10";"JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal";1;"Conn_01x04_Pin";;;
9;"Y1";"Crystal_SMD_0603-4Pin_6.0x3.5mm";1;"Crystal_GND23_Small";;;
10;"U4";"QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm";1;"STM32F401CBUx";;;
11;"C5,C4,C16,C2";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";4;"0.1uf";;;
12;"C10,C9";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"12pf";;;
13;"J6";"JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical";1;"Conn_01x04_Pin";;;
14;"SW1";"SW_SPST_TL3342";1;"SW_Push";;;
15;"J3,J8,J4,J5,J2";"JST_EH_S3B-EH_1x03_P2.50mm_Horizontal";5;"Conn_01x03_Male";;;
16;"J9";"JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical";1;"Conn_01x03_Male";;;
17;"J7";"JST_EH_S2B-EH_1x02_P2.50mm_Horizontal";1;"Conn_01x02_Male";;;
18;"D1";"LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"GREEN";;;
19;"U2";"InvenSense_QFN-24_4x4mm_P0.5mm";1;"MPU-6050";;;
20;"C7";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"2.2nf";;;
21;"D3";"LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"RED";;;
22;"SW3";"SW_CuK_OS102011MA1QN1_SPDT_Angled";1;"SW_SPDT";;;
23;"U3";"Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering";1;"BMP280";;;
24;"C8,C6";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"100nf";;;
25;"C1,C15";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"10uf";;;
26;"U5";"SOT-223-3_TabPin2";1;"L7805";;;
